,ang,ang,ang,ang,fea,fea,fea,fea,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sup,sup,sup,sup,hap,hap,hap,hap,dis,dis,dis,dis
,nan,AU25+29,AU7,AU4,nan,AU25+29,AU7,AU4,nan,AU25+29,AU7,AU4,nan,AU25+29,AU7,AU4,nan,AU25+29,AU7,AU4,nan,AU25+29,AU7,AU4,nan,AU25+29,AU7,AU4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p001,0.0,0.0,0.0,0.0,-3.87984981227,60.4863221884,2.12765957447,-41.641337386,-19.3277310924,46.9387755102,-14.2857142857,46.9387755102,-38.423028786,104.255319149,78.7234042553,82.3708206687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.24369747899,95.9183673469,-14.2857142857,-51.0204081633
p002,-6.34828188701,-6.64780763791,33.6633663366,37.4823196605,9.80392156863,52.380952381,-100.0,-100.0,14.168797954,-34.4099378882,-100.0,-34.4099378882,-8.35913312693,28.320802005,33.3333333333,12.2807017544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.88235294118,71.4285714286,0.0,-42.8571428571
p003,-19.1919191919,26.9841269841,85.8585858586,66.2337662338,15.5080213904,-37.6623376623,-100.0,-37.6623376623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.07371556217,12.8390596745,112.658227848,21.5189873418
p004,-20.2046035806,26.7080745342,173.913043478,71.4285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.3277310924,193.87755102,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p005,-13.4596211366,14.2857142857,69.4915254237,51.0895883777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4570135747,5.49450549451,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p006,-20.3036053131,-11.5207373272,170.967741935,110.138248848,-2.18831559928,35.7386640663,6.48464163823,-25.1097025841,0.0,0.0,0.0,0.0,-23.9819004525,58.2417582418,38.4615384615,58.2417582418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p007,-19.1950464396,-5.26315789474,125.0,98.4962406015,0.0,0.0,0.0,0.0,15.5080213904,-37.6623376623,-100.0,-37.6623376623,-27.9098873592,-63.5258358663,295.744680851,199.088145897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p008,-15.9198305361,6.37119113573,66.2049861496,70.9537000396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.26244343891,5.49450549451,-7.69230769231,5.49450549451,0.0,0.0,0.0,0.0,-29.4117647059,242.857142857,-100.0,-100.0,-43.5294117647,174.285714286,140.0,37.1428571429
p009,-16.2439287642,27.9161205767,48.623853211,50.9829619921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p011,-16.4871582436,-54.9295774648,209.85915493,135.010060362,-4.28713858425,80.1452784504,-28.813559322,-59.3220338983,-6.49350649351,104.823747681,-100.0,-73.2838589981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.1830065359,111.64021164,18.5185185185,5.82010582011
p012,-15.0966680378,41.4585414585,84.6153846154,31.8681318681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p013,-7.49579831933,8.40816326531,46.2857142857,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.8376768429,56.2386980108,89.8734177215,69.2585895118
p014,-11.9089597692,47.6060724017,20.9809264305,10.2374464772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67379679144,24.6753246753,9.09090909091,-37.6623376623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.4117647059,242.857142857,-100.0,-100.0
p015,-9.21395106715,41.592920354,55.7522123894,3.1605562579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p016,-7.33689839572,-2.75324675325,37.4545454545,38.3896103896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p017,-14.7418380555,27.4187914775,70.1711491443,44.184421935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p018,-6.77025527192,3.50404312668,13.2075471698,29.3800539084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p019,-2.04081632653,-26.5306122449,83.6734693878,36.443148688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52941176471,-54.2857142857,-20.0,37.1428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.26276035706,6.72595886604,58.7548638132,33.4074485825
p020,-19.3277310924,37.6723662438,150.193050193,56.2051847766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.5294117647,37.1428571429,140.0,174.285714286
p021,-5.78265204387,13.3171912833,34.7457627119,14.7699757869,-23.9819004525,58.2417582418,84.6153846154,58.2417582418,0.0,0.0,0.0,0.0,9.09090909091,-61.9047619048,45.4545454545,17.7489177489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p022,-12.5876257239,65.2109548483,-3.62694300518,-4.0710584752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p023,-9.36819172113,-15.3439153439,18.5185185185,60.8465608466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.26244343891,5.49450549451,84.6153846154,5.49450549451,41.1764705882,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,3.16742081448,-47.2527472527,84.6153846154,31.8681318681
p024,-4.78156174751,-18.462823726,70.7602339181,41.6875522139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p025,-19.516217702,55.4072096128,17.7570093458,39.3858477971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p026,-6.88360450563,2.12765957447,65.9574468085,31.3069908815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87394957983,-68.6530612245,71.4285714286,44.9795918367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.9411764706,14.2857142857,100.0,242.857142857
p027,-17.3504695996,15.2460984394,108.403361345,69.0276110444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69491525424,25.9079903148,-32.2033898305,-34.1404358354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p028,-3.54111793971,-34.0440653873,65.1741293532,51.2437810945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p029,-15.4492566257,-51.0204081633,176.923076923,126.059654631,0.0,0.0,0.0,0.0,-9.24369747899,-2.04081632653,-100.0,46.9387755102,25.4901960784,-100.0,33.3333333333,-23.8095238095,-12.6421839454,40.1736385162,-66.8508287293,21.2312549329,0.0,0.0,0.0,0.0,-8.84668828161,18.785151856,41.7322834646,24.1844769404
p030,-10.9778943425,81.9836214741,-18.4713375796,-28.6624203822,5.88235294118,-42.8571428571,0.0,14.2857142857,0.0,0.0,0.0,0.0,13.4170522141,-73.0337078652,88.7640449438,7.86516853933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.3277310924,95.9183673469,71.4285714286,-2.04081632653
p031,-0.0178794922224,-31.2201476335,71.4285714286,31.3069908815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.0504201681,112.244897959,100.0,14.2857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.77025527192,21.6172506739,-0.377358490566,11.2668463612
p032,-20.2256244964,17.4168297456,76.7123287671,80.8219178082,0.0,0.0,0.0,0.0,9.80392156863,52.380952381,-100.0,-100.0,-0.518134715026,-7.62398223538,24.3523316062,10.1406365655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p033,-21.1359026369,37.1428571429,84.8275862069,65.5172413793,1.35746606335,75.8241758242,-84.6153846154,-82.4175824176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0664961637,34.1614906832,56.5217391304,34.1614906832
p034,-16.0572337043,140.926640927,-43.2432432432,-62.9343629344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.1764705882,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.26244343891,5.49450549451,-7.69230769231,5.49450549451
p035,-4.95300454113,-21.210566812,106.822262118,45.2680174404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p036,-17.07116413,72.6273726274,76.2237762238,10.2897102897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.2745098039,0.571428571429,65.3333333333,49.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.89785872508,37.7166766288,20.5020920502,-13.927077107
p037,-1.81240063593,-55.5212355212,148.648648649,64.3243243243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1439822791,52.0621637776,-59.8326359833,-77.0472205619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.1604278075,87.012987013,-100.0,-37.6623376623
p038,-22.1095334686,72.2730471499,98.0295566502,35.1161154117,0.0,0.0,0.0,0.0,31.0924369748,-51.0204081633,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p039,11.2299465241,-37.6623376623,45.4545454545,-16.8831168831,3.52941176471,37.1428571429,-100.0,-54.2857142857,0.0,0.0,0.0,0.0,-23.4042553191,11.8541033435,138.29787234,101.823708207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p040,-5.88235294118,128.571428571,-100.0,-100.0,-29.4117647059,242.857142857,-100.0,-100.0,12.9411764706,37.1428571429,-100.0,-100.0,-28.5182427401,125.678119349,51.8987341772,12.8390596745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p041,0.21334958854,-32.4944485566,55.4404145078,31.4581791266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.89379642642,-48.5129205266,47.4402730375,5.3144807411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9243697479,-51.0204081633,-14.2857142857,-2.04081632653
p042,-8.93394900622,-43.8322769381,125.255972696,87.2257435397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39940682155,0.840336134454,36.1344537815,-22.2088835534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p043,-3.3386327504,8.10810810811,35.1351351351,8.10810810811,0.0,0.0,0.0,0.0,30.3167420814,-47.2527472527,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p044,-11.5554522204,46.3579898363,44.6640316206,9.76849237719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.7647058824,71.4285714286,-100.0,-14.2857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.840336134454,-2.04081632653,-100.0,-2.04081632653
p045,-15.8550837554,31.6934720908,82.7814569536,45.3169347209,2.67379679144,87.012987013,-100.0,-100.0,0.0,0.0,0.0,0.0,-7.51563098124,21.9708707778,53.579175705,14.5336225597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4570135747,-47.2527472527,-7.69230769231,-47.2527472527
p046,-9.01960784314,38.4126984127,68.8888888889,5.39682539683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p047,-18.615916955,15.2460984394,129.915966387,75.1740696279,0.0,0.0,0.0,0.0,2.67379679144,-37.6623376623,-100.0,24.6753246753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.60366441659,53.6299765808,-100.0,-66.2763466042
p048,-7.52262443439,17.032967033,54.3269230769,19.5054945055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p049,-27.7490867867,70.3273172224,82.4411134904,64.4539614561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9243697479,-2.04081632653,-100.0,-51.0204081633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p050,0.189753320683,-55.7603686636,74.1935483871,54.8387096774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.4117647059,-100.0,500.0,242.857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.88235294118,31.746031746,11.1111111111,-3.1746031746
